Business Name,Search Term,Website,Raw Text
Opulent Med Spa,"Med Spas in Tampa, FL",N/A,"Sponsored |  | Opulent Med Spa | 4.8(94) | Medical spa · 5244 Bridge Street | Closed · Opens 10 AM |     Smoother, younger-looking skin | Transform your skin with advanced Esthetic Services treatments at Opulent in South | Visit Site"
Opulent Med Spa,"Med Spas in Tampa, FL",N/A,"Opulent Med Spa | 4.8(94) | Medical spa ·  · 5244 Bridge St | Closed · Opens 10 AM |   ""The front staff was very welcoming, and the spa was flawlessly clean."""
SOHO Wellness & Med Spa | Tampa,"Med Spas in Tampa, FL",N/A,"SOHO Wellness & Med Spa | Tampa | 4.9(674) | Medical spa ·  · 103 S Boulevard | Closed · Opens 9 AM |   ""The setting was nice and my masseuse was very thorough and friendly."""
Elase Medical Spa - South Tampa,"Med Spas in Tampa, FL",https://elase.zenoti.com/webstoreNew/services/7450ee4e-b6b8-462b-850e-e4edabfc2014?merchantId=7450ee4e-b6b8-462b-850e-e4edabfc2014&booking_source=booknow&booking_medium=google&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnFFYc_Yt2C1T4C_nsMcoTmE_gosx0_RmYHNuwyq_L_kpQDSeYVJNQYy_oBciS7VR0kAqyxmSjPl2JPzyMbyvgH9cAdOSA%3D%3D,"Elase Medical Spa - South Tampa | 4.9(155) | Medical spa ·  · 1155 S Dale Mabry Hwy #8 | Closed · Opens 9 AM |   ""Every treatment with her is customized, relaxing, and leaves me glowing."" |    | Book online"
Elevate Medical Spa,"Med Spas in Tampa, FL",https://elevatemedspa.zenoti.com/webstoreNew/services/271cd2c0-5404-4886-ac6f-ca43ec330ca8?merchantId=271cd2c0-5404-4886-ac6f-ca43ec330ca8&booking_source=booknow&booking_medium=google&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnHmSMRPvZaebuSH8DV6buI0MC0NJUJapoH_aljoeNLt45rhGohn_5EF915_9TtOARk_gnlEUpspVvuqTaqj7mM48TB_Cw%3D%3D,"Elevate Medical Spa | 5.0(260) | Medical spa ·  · 2605 S MacDill Ave Suite C | Closed · Opens 9 AM |   ""Lauren knows how to make me feel special and pampered."" |    | Book online"
HEALTH + GLOW primary care | med spa | wellness,"Med Spas in Tampa, FL",https://nexhealth.info/book/appt/health-and-glow-primary-care-and-med-spa?lid=121623&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnHE29jT2Ox8qOO98HyM8wEWyLrc0jf6s8FxJNUC5BSuWFozhupqwHZfylcFd8fwc0h5J_scw6nVenhY_hBcLKdYAULTjQ%3D%3D,"HEALTH + GLOW primary care | med spa | wellness | 4.4(516) | Medical spa ·  · 4331 S Manhattan Ave | Closed · Opens 9 AM |   ""The facility both the Med Spa and Primary Care is super clean and Pink !"" |    | Book online"
Skin NV Tampa Med Spa,"Med Spas in Tampa, FL",https://dashboard.boulevard.io/booking/businesses/56b34836-0b1b-4bfb-9c5c-9cb2d842a882/widget?location_wl=8002114c-5236-4808-a1e1-b184984dd885&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnGE6fwrfTKlzhsmEY67YJHMDKNpgp-vSpKqN6V0VDpl0rRtOXa84WqYK2j3N9sIOlUEv6uR-lKBVgzr3-jXY_gG0OhLfA%3D%3D,"Skin NV Tampa Med Spa | 4.8(575) | Medical spa ·  · 3715 W Swann Ave | Closed · Opens 9 AM |   ""From the moment I walked in, I felt pampered and understood."" |    | Book online"
EVO Medical Spa,"Med Spas in Tampa, FL",N/A,"EVO Medical Spa | 5.0(93) | Medical spa ·  · 1001 W Cleveland St | Closed · Opens 9 AM |   ""First time getting a hydro facial and it was an amazing experience."""
Viso Juve,"Med Spas in Tampa, FL",N/A,"Viso Juve | 5.0(323) | Medical spa ·  · 4247 W Bay to Bay Blvd | Closed · Opens 9 AM |   ""I always leave feeling relaxed and refreshed when I leave."""
Venus Med Spa,"Med Spas in Tampa, FL",N/A,"Venus Med Spa | 4.9(101) | Medical spa ·  · 405 S Dale Mabry Hwy | Closed · Opens 10 AM |   ""... friendly staff | Love getting my treatments @Venus med Spa!"""
